HH-pol,HV-pol,SM1 (%),Crop Name,label,NDVI,DpRVI,Depolarization_Rate
-9.30941,-17.00176,8.2,Fallow,Medium,0.18734048306942,0.3938924120852541,0.1701237706814011
-8.10325,-15.88235,44.8,Perl Millet,Very High,0.631528973579407,0.3879203178409596,0.16675927564258297
-9.62345,-17.15174,6.0,Fallow,Low,0.147121533751488,0.4053514543797628,0.17667333209545175
-9.94934,-19.37645,5.7,Ortho,Low,0.175938487052917,0.28626789311912476,0.11410088159849323
-6.80651,-17.59076,2.7,Fallow,Low,0.151156529784203,0.21926801388459524,0.08347856982129011
-9.78643,-10.79381,37.4,Perl Millet,Very High,0.654687106609345,0.9356034624431611,0.79297957278076
-8.44387,-15.33186,27.3,Perl Millet,High,0.625793874263763,0.4520720008297554,0.2047391990630489
-8.75233,-18.93091,15.2,Perl Millet,Medium,0.64257025718689,0.2473662659586734,0.09597143752311839
-12.47915,-18.12421,9.1,Perl Millet,Medium,0.521664619445801,0.550825554641072,0.2725800080348607
-9.48801,-14.64609,26.9,Perl Millet,High,0.632151305675507,0.5918108084514918,0.3049242750739238
-7.93055,-19.29293,3.8,Fallow,Low,0.17910447716713,0.19501848249212245,0.07307385178822928
-10.35046,-17.05132,4.7,Fallow,Low,0.180049881339073,0.46629993340814735,0.2137538767208492
-10.06136,-19.13012,5.0,Fallow,Low,0.124408096075058,0.3064476195129794,0.12391503389143746
-12.05981,-19.29424,2.1,Fallow,Low,0.24440298974514,0.4264058807339868,0.189041432677696
-10.30704,-19.45123,2.4,Fallow,Low,0.133138969540596,0.30211132972495197,0.12178141054343046
-12.82574,-21.29368,12.6,Fallow,Medium,0.138786286115646,0.3426834003227718,0.1423003603964846
-10.22037,-19.06915,5.0,Fallow,Low,0.144205555319786,0.31936472758432,0.13035329094683343
-8.61756,-20.42012,6.8,Fallow,Low,0.155405402183533,0.1781481308174712,0.06603041092306224
-12.73595,-17.84052,6.2,Fallow,Low,0.301982492208481,0.5963727287378989,0.3087045282484183
-12.2253,-22.54355,5.83333333333333,Fallow,Low,0.280266910791397,0.2406344085915718,0.0929340791435462
-10.92568,-15.49919,6.3,Fallow,Low,0.122222222387791,0.6421154789136013,0.3488582517016408
-12.65881,-16.4699,3.8,Fallow,Low,0.135106384754181,0.7085599230912991,0.4158062376090963
-12.57115,-20.66377,6.3,Fallow,Low,0.1114666685462,0.3668464072043518,0.15514507725566862
-12.63191,-15.34244,7.0,Fallow,Low,0.130479633808136,0.8031483895242657,0.5357312744809849
-13.02122,-15.69567,7.6,Fallow,Low,0.152163341641426,0.8061731488138123,0.5402005226047661
-11.54633,-13.21472,8.7,Fallow,Medium,0.127083331346512,0.8871206879873247,0.6810217777084718
-10.58841,-15.85361,5.0,Fallow,Low,0.272817969322205,0.5827102246731898,0.29749522541119944
-8.42513,-17.40769,4.0,Fallow,Low,0.127580732107162,0.3114611078687483,0.12639910534104898
-12.02991,-15.60047,3.4,Fallow,Low,0.128123342990875,0.7294964113351747,0.4394849425013406
-13.06616,-14.96992,5.3,Fallow,Low,0.121900826692581,0.8688617724607745,0.6450954815935708
-12.04677,-19.2503,2.4,Fallow,Low,0.137948453426361,0.4286585492862198,0.19039125648657085
-8.4518,-17.31775,6.8,Fallow,Low,0.132763534784317,0.3183419739798199,0.12983895157904932
-9.3763,-19.00197,3.0,Fallow,Low,0.144263908267021,0.2755431250182251,0.10900163191062041
-8.84624,-15.81384,4.3,Fallow,Low,0.154603362083435,0.44609536371136,0.20102033851615825
-9.50577,-15.5643,3.03333333333333,Fallow,Low,0.157333329319954,0.5169298970654944,0.24782607574063786
-7.24491,-18.34963,3.6,Fallow,Low,0.146414339542389,0.20552499346914546,0.07754039338871739
-9.55814,-16.25389,4.2,Fallow,Low,0.137336820363998,0.46669192706412205,0.21400553203972494
-12.91854,-19.12096,6.0,Fallow,Low,0.140983611345291,0.5053606904321808,0.239749660027495
-10.35664,-17.43173,2.3,Fallow,Low,0.269153237342835,0.43809954783956406,0.19610605354761526
-11.89789,-19.27818,4.53333333333333,Fallow,Low,0.19982698559761,0.4158713710291033,0.1827978148885428
-7.08127,-15.57441,2.6,Fallow,Low,0.27690801024437,0.341102986651826,0.1414770514423264
-9.99693,-18.66412,2.4,Fallow,Low,0.198284074664116,0.3303322277285182,0.13591925956473505
-9.61241,-16.59726,2.8,Fallow,Low,0.405225664377213,0.44480644520914997,0.20022347751339833
