HH-pol,HV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-10.91712,-19.1987,8.281579999999998,1.2246467991473532e-16,-1.0,5,5.2,Fallow,Low
-7.81574,-18.94311,11.12737,1.2246467991473532e-16,-1.0,5,4.8,Fallow,Low
-6.59767,-18.39282,11.79515,1.2246467991473532e-16,-1.0,5,27.4,Fallow,High
-10.1896,-14.50748,4.317879999999999,1.2246467991473532e-16,-1.0,5,37.3,Fallow,High
-9.96887,-15.24612,5.277249999999999,1.2246467991473532e-16,-1.0,5,8.2,Fallow,Low
-12.61298,-20.17157,7.558589999999999,1.2246467991473532e-16,-1.0,5,5.86666666666667,Fallow,Low
-13.38488,-19.73572,6.35084,1.2246467991473532e-16,-1.0,5,4.1,Fallow,Low
-9.36742,-16.36509,6.997669999999999,1.2246467991473532e-16,-1.0,5,3.5,Fallow,Low
-8.86449,-15.5614,6.696910000000001,1.2246467991473532e-16,-1.0,5,4.0,Fallow,Low
-10.81193,-15.77439,4.96246,1.2246467991473532e-16,-1.0,5,3.8,Fallow,Low
-12.77497,-17.40721,4.6322399999999995,1.2246467991473532e-16,-1.0,5,5.13333333333333,Fallow,Low
-9.92453,-18.7951,8.87057,1.2246467991473532e-16,-1.0,5,3.6,Fallow,Low
-11.65075,-17.92907,6.278319999999999,1.2246467991473532e-16,-1.0,5,5.1,Fallow,Low
-12.55268,-17.39989,4.847209999999999,1.2246467991473532e-16,-1.0,5,16.0,Fallow,Medium
-8.42385,-19.05501,10.63116,1.2246467991473532e-16,-1.0,5,2.8,Fallow,Low
-10.12433,-19.84436,9.720030000000001,1.2246467991473532e-16,-1.0,5,10.7666666666667,Fallow,Medium
-8.62324,-17.74773,9.124490000000002,1.2246467991473532e-16,-1.0,5,3.2,Fallow,Low
-13.38404,-18.17859,4.794549999999999,1.2246467991473532e-16,-1.0,5,6.5,Fallow,Low
-9.93938,-18.48502,8.545639999999999,1.2246467991473532e-16,-1.0,5,6.0,Fallow,Low
-12.57221,-19.60516,7.032950000000001,1.2246467991473532e-16,-1.0,5,4.9,Fallow,Low
-11.58666,-22.13792,10.551260000000001,1.2246467991473532e-16,-1.0,5,6.06666666666667,Fallow,Low
-11.84989,-18.48023,6.630339999999999,1.2246467991473532e-16,-1.0,5,9.6,Fallow,Low
-10.29152,-16.81516,6.5236399999999986,1.2246467991473532e-16,-1.0,5,3.4,Fallow,Low
-11.18491,-20.68605,9.501140000000001,1.2246467991473532e-16,-1.0,5,21.8,Fallow,Medium
-9.20688,-19.93405,10.72717,1.2246467991473532e-16,-1.0,5,5.9,Fallow,Low
-9.82747,-20.41621,10.58874,1.2246467991473532e-16,-1.0,5,4.6,Fallow,Low
-11.9066,-15.6542,3.7476000000000003,1.2246467991473532e-16,-1.0,5,3.9,Fallow,Low
-8.62748,-16.12485,7.497369999999998,1.2246467991473532e-16,-1.0,19,21.5,Perl Millet,Medium
-10.26128,-17.77907,7.5177900000000015,1.2246467991473532e-16,-1.0,19,15.8,Perl Millet,Medium
-9.58333,-15.26672,5.683389999999999,1.2246467991473532e-16,-1.0,5,3.8,Fallow,Low
-10.80369,-16.14764,5.3439499999999995,1.2246467991473532e-16,-1.0,19,23.8,Perl Millet,Medium
-11.40774,-16.74591,5.338169999999998,1.2246467991473532e-16,-1.0,5,2.7,Fallow,Low
-10.66648,-18.70679,8.040310000000002,1.2246467991473532e-16,-1.0,5,2.3,Fallow,Low
-10.40914,-19.00854,8.5994,1.2246467991473532e-16,-1.0,5,3.8,Fallow,Low
-10.64451,-14.9134,4.268889999999999,1.2246467991473532e-16,-1.0,5,4.4,Fallow,Low
-10.85311,-15.57489,4.721780000000001,1.2246467991473532e-16,-1.0,5,3.03333333333333,Fallow,Low
-8.71543,-16.33234,7.616909999999999,1.2246467991473532e-16,-1.0,5,5.2,Fallow,Low
-7.59162,-17.00725,9.41563,1.2246467991473532e-16,-1.0,19,18.1,Perl Millet,Medium
-9.77731,-14.99134,5.214029999999999,1.2246467991473532e-16,-1.0,19,14.3,Perl Millet,Medium
-9.90516,-15.88723,5.98207,1.2246467991473532e-16,-1.0,7,10.0,Fodder,Medium
-7.98585,-13.54009,5.554239999999999,1.2246467991473532e-16,-1.0,19,11.0666666666667,Perl Millet,Medium
-11.59984,-15.24045,3.640609999999999,1.2246467991473532e-16,-1.0,5,2.7,Fallow,Low
-10.15491,-16.6594,6.504490000000002,1.2246467991473532e-16,-1.0,5,1.8,Fallow,Low
-10.27771,-15.62443,5.3467199999999995,1.2246467991473532e-16,-1.0,5,6.5,Fallow,Low
-11.41008,-14.18518,2.7751,1.2246467991473532e-16,-1.0,5,4.3,Fallow,Low
-9.99171,-17.71975,7.728040000000002,1.2246467991473532e-16,-1.0,5,4.3,Fallow,Low
-9.99353,-17.59457,7.601040000000001,1.2246467991473532e-16,-1.0,19,11.1,Perl Millet,Medium
-16.11224,-16.47931,0.3670700000000018,1.2246467991473532e-16,-1.0,5,3.4,Fallow,Low
-12.40588,-18.25706,5.851179999999999,1.2246467991473532e-16,-1.0,5,3.4,Fallow,Low
-10.10306,-20.26867,10.165610000000001,1.2246467991473532e-16,-1.0,19,10.0,Perl Millet,Medium
-11.42363,-18.8493,7.42567,1.2246467991473532e-16,-1.0,5,3.5,Fallow,Low
-10.27678,-15.48715,5.210369999999999,1.2246467991473532e-16,-1.0,19,24.0,Perl Millet,Medium
-10.50687,-19.34296,8.836090000000002,1.2246467991473532e-16,-1.0,19,9.0,Perl Millet,Low
-9.73199,-20.68956,10.95757,1.2246467991473532e-16,-1.0,5,8.1,Fallow,Low
-4.61541,-16.63832,12.02291,1.2246467991473532e-16,-1.0,5,8.2,Fallow,Low
-5.96827,-17.78609,11.817820000000001,1.2246467991473532e-16,-1.0,5,7.63333333333333,Fallow,Low
-8.34858,-15.88976,7.541180000000001,1.2246467991473532e-16,-1.0,5,6.7,Fallow,Low
-11.14656,-17.52194,6.375380000000002,1.2246467991473532e-16,-1.0,5,4.5,Fallow,Low
-8.52316,-20.67591,12.152749999999997,1.2246467991473532e-16,-1.0,5,7.2,Fallow,Low
-10.1982,-20.33198,10.133780000000002,1.2246467991473532e-16,-1.0,5,10.9,Fallow,Medium
-8.41919,-16.53362,8.114429999999999,1.2246467991473532e-16,-1.0,5,7.3,Fallow,Low
-12.539,-19.59726,7.058259999999999,1.2246467991473532e-16,-1.0,5,3.1,Fallow,Low
-9.71709,-19.0863,9.36921,1.2246467991473532e-16,-1.0,5,6.3,Fallow,Low
-8.58314,-19.84718,11.264040000000001,1.2246467991473532e-16,-1.0,5,8.2,Fallow,Low
-10.10585,-19.30422,9.19837,1.2246467991473532e-16,-1.0,5,3.1,Fallow,Low
-8.63957,-17.63755,8.99798,1.2246467991473532e-16,-1.0,5,3.06666666666667,Fallow,Low
