VH-pol,VV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-18.6875,-12.2219,-6.4656,1.2246467991473532e-16,-1.0,2,8.6,Fallow,Low
-17.7212,-10.433,-7.2882,1.2246467991473532e-16,-1.0,2,5.3,Fallow,Low
-19.0286,-11.6004,-7.4282,1.2246467991473532e-16,-1.0,2,8.8,Fallow,Low
-17.2037,-11.6349,-5.568800000000001,1.2246467991473532e-16,-1.0,2,7.9,Fallow,Low
-20.3589,-11.9589,-8.399999999999999,1.2246467991473532e-16,-1.0,2,8.0,Fallow,Low
-19.5296,-13.0626,-6.466999999999999,1.2246467991473532e-16,-1.0,2,7.5,Fallow,Low
-19.5386,-12.8276,-6.7109999999999985,1.2246467991473532e-16,-1.0,2,7.7,Fallow,Low
-20.6152,-12.8842,-7.731000000000002,1.2246467991473532e-16,-1.0,2,6.533333333333333,Fallow,Low
-20.3636,-11.917,-8.446600000000002,1.2246467991473532e-16,-1.0,2,10.1,Fallow,Low
-18.7258,-12.2486,-6.4772,1.2246467991473532e-16,-1.0,2,7.3,Fallow,Low
-19.7596,-10.9705,-8.7891,1.2246467991473532e-16,-1.0,2,5.7,Fallow,Low
-20.4533,-11.8024,-8.650899999999998,1.2246467991473532e-16,-1.0,2,10.9,Fallow,Low
-19.3009,-10.99,-8.310899999999998,1.2246467991473532e-16,-1.0,2,11.166666666666666,Fallow,Low
-19.5784,-11.815,-7.763399999999999,1.2246467991473532e-16,-1.0,2,7.2,Fallow,Low
-19.0005,-10.1774,-8.823099999999998,1.2246467991473532e-16,-1.0,2,12.2,Fallow,Medium
-20.2981,-13.0725,-7.225600000000002,1.2246467991473532e-16,-1.0,2,3.6,Fallow,Low
-18.6986,-12.9887,-5.709899999999999,1.2246467991473532e-16,-1.0,2,3.5,Fallow,Low
-18.6986,-12.9887,-5.709899999999999,1.2246467991473532e-16,-1.0,2,5.0,Fallow,Low
-18.8858,-12.7639,-6.1219,1.2246467991473532e-16,-1.0,2,4.1,Fallow,Low
-18.6744,-14.7882,-3.8861999999999988,1.2246467991473532e-16,-1.0,2,2.0,Fallow,Low
-18.1245,-11.8757,-6.248800000000001,1.2246467991473532e-16,-1.0,2,3.3,Fallow,Low
-18.1373,-9.52469,-8.61261,1.2246467991473532e-16,-1.0,2,26.5,Fallow,High
-18.6367,-12.9881,-5.648600000000002,1.2246467991473532e-16,-1.0,2,3.566666666666667,Fallow,Low
-17.8404,-11.0006,-6.8397999999999985,1.2246467991473532e-16,-1.0,2,3.5,Fallow,Low
-15.8711,-10.3787,-5.4924,1.2246467991473532e-16,-1.0,13,9.7,Pearl Millet,Low
-15.8287,-10.267,-5.5617,1.2246467991473532e-16,-1.0,13,8.1,Pearl Millet,Low
-17.1435,-12.7799,-4.3636,1.2246467991473532e-16,-1.0,2,4.2,Fallow,Low
-16.2,-9.95451,-6.245489999999998,1.2246467991473532e-16,-1.0,13,9.8,Pearl Millet,Low
-17.9406,-11.2444,-6.696199999999999,1.2246467991473532e-16,-1.0,2,2.3,Fallow,Low
-19.0359,-13.158,-5.877900000000002,1.2246467991473532e-16,-1.0,2,3.8,Fallow,Low
-19.1968,-13.1986,-5.998199999999999,1.2246467991473532e-16,-1.0,2,5.8,Fallow,Low
-19.8453,-12.2207,-7.624600000000001,1.2246467991473532e-16,-1.0,2,3.4,Fallow,Low
-18.9673,-13.193,-5.774300000000002,1.2246467991473532e-16,-1.0,2,3.7333333333333334,Fallow,Low
-12.4202,-4.08332,-8.33688,1.2246467991473532e-16,-1.0,2,5.8,Fallow,Low
-18.721,-12.5351,-6.1859,1.2246467991473532e-16,-1.0,2,5.9,Fallow,Low
-17.8501,-12.9101,-4.940000000000001,1.2246467991473532e-16,-1.0,2,4.9,Fallow,Low
-17.855,-11.9229,-5.9321,1.2246467991473532e-16,-1.0,2,8.9,Fallow,Low
-18.7179,-13.9241,-4.793800000000001,1.2246467991473532e-16,-1.0,8,4.1,Maize,Low
-19.5663,-12.6875,-6.878799999999998,1.2246467991473532e-16,-1.0,2,5.0,Fallow,Low
-18.2036,-10.7414,-7.462200000000001,1.2246467991473532e-16,-1.0,2,21.7,Fallow,Medium
-18.3039,-10.6748,-7.629099999999999,1.2246467991473532e-16,-1.0,2,6.0,Fallow,Low
-21.3491,-11.5331,-9.816,1.2246467991473532e-16,-1.0,2,5.7,Fallow,Low
-20.7451,-11.5035,-9.2416,1.2246467991473532e-16,-1.0,2,4.933333333333334,Fallow,Low
-20.8577,-11.333,-9.524700000000001,1.2246467991473532e-16,-1.0,2,6.6,Fallow,Low
-21.0438,-12.3345,-8.7093,1.2246467991473532e-16,-1.0,2,4.5,Fallow,Low
-18.9432,-11.5601,-7.383100000000001,1.2246467991473532e-16,-1.0,2,4.9,Fallow,Low
-18.3864,-10.0126,-8.373799999999997,1.2246467991473532e-16,-1.0,2,6.5,Fallow,Low
-20.6445,-12.8325,-7.812000000000001,1.2246467991473532e-16,-1.0,2,6.7,Fallow,Low
-18.6002,-11.1986,-7.4016,1.2246467991473532e-16,-1.0,2,1.3,Fallow,Low
-19.1392,-11.5026,-7.6366,1.2246467991473532e-16,-1.0,2,1.5,Fallow,Low
-20.6624,-12.4355,-8.226900000000002,1.2246467991473532e-16,-1.0,2,5.5,Fallow,Low
-19.0949,-12.3996,-6.6953,1.2246467991473532e-16,-1.0,2,6.6,Fallow,Low
-20.4645,-12.0929,-8.3716,1.2246467991473532e-16,-1.0,2,4.733333333333333,Fallow,Low
-20.6736,-14.1688,-6.504800000000001,1.2246467991473532e-16,-1.0,2,6.7,Fallow,Low
-19.1429,-10.9734,-8.169500000000001,1.2246467991473532e-16,-1.0,2,5.1,Fallow,Low
-19.784,-12.0015,-7.782499999999999,1.2246467991473532e-16,-1.0,2,4.5,Fallow,Low
-20.3815,-12.5045,-7.876999999999999,1.2246467991473532e-16,-1.0,2,12.3,Fallow,Medium
-19.2682,-11.2334,-8.0348,1.2246467991473532e-16,-1.0,2,5.466666666666667,Fallow,Low
-18.6729,-12.1888,-6.484099999999998,1.2246467991473532e-16,-1.0,2,5.8,Fallow,Low
-19.1204,-11.7374,-7.383000000000001,1.2246467991473532e-16,-1.0,2,24.8,Fallow,High
-17.6467,-12.4244,-5.222299999999999,1.2246467991473532e-16,-1.0,2,10.7,Fallow,Low
-19.7242,-11.6339,-8.0903,1.2246467991473532e-16,-1.0,2,5.0,Fallow,Low
-20.4652,-12.5777,-7.887499999999999,1.2246467991473532e-16,-1.0,2,5.8999999999999995,Fallow,Low
-18.1103,-12.7424,-5.367899999999999,1.2246467991473532e-16,-1.0,2,31.9,Fallow,High
-19.7501,-14.2123,-5.537799999999999,1.2246467991473532e-16,-1.0,2,5.4,Fallow,Low
-18.4144,-11.5915,-6.822900000000001,1.2246467991473532e-16,-1.0,2,4.7,Fallow,Low
-18.519,-12.6514,-5.867599999999998,1.2246467991473532e-16,-1.0,2,1.9,Fallow,Low
-19.0525,-12.857,-6.195499999999999,1.2246467991473532e-16,-1.0,2,2.1333333333333333,Fallow,Low
-17.0171,-9.97736,-7.03974,1.2246467991473532e-16,-1.0,2,23.3,Fallow,Medium
-18.1488,-11.3335,-6.815300000000001,1.2246467991473532e-16,-1.0,2,7.1,Fallow,Low
-18.4554,-11.4813,-6.974100000000002,1.2246467991473532e-16,-1.0,2,5.2,Fallow,Low
-17.4858,-9.97749,-7.508310000000002,1.2246467991473532e-16,-1.0,2,5.7,Fallow,Low
-18.2665,-11.7643,-6.5022,1.2246467991473532e-16,-1.0,2,5.166666666666666,Fallow,Low
-19.6852,-11.6614,-8.023799999999998,1.2246467991473532e-16,-1.0,2,5.5,Fallow,Low
-19.8313,-12.2824,-7.548899999999998,1.2246467991473532e-16,-1.0,2,3.6,Fallow,Low
-20.0535,-10.3556,-9.697899999999999,1.2246467991473532e-16,-1.0,2,6.2,Fallow,Low
-20.7023,-13.6124,-7.089900000000002,1.2246467991473532e-16,-1.0,2,7.3,Fallow,Low
-20.0557,-12.9406,-7.115100000000002,1.2246467991473532e-16,-1.0,2,7.333333333333334,Fallow,Low
-16.7031,-8.90457,-7.7985299999999995,1.2246467991473532e-16,-1.0,2,10.9,Fallow,Low
-17.6459,-9.19917,-8.44673,1.2246467991473532e-16,-1.0,2,20.3,Fallow,Medium
-17.7947,-7.14103,-10.653669999999998,1.2246467991473532e-16,-1.0,2,36.0,Fallow,High
-17.0656,-9.73584,-7.32976,1.2246467991473532e-16,-1.0,7,23.5,Lemon,Medium
-17.5226,-7.12236,-10.40024,1.2246467991473532e-16,-1.0,2,36.6,Fallow,High
-17.4581,-9.41454,-8.043560000000001,1.2246467991473532e-16,-1.0,2,11.4,Fallow,Low
-19.0145,-8.02511,-10.989390000000002,1.2246467991473532e-16,-1.0,2,15.0,Fallow,Medium
-17.5656,-8.45697,-9.10863,1.2246467991473532e-16,-1.0,2,14.0,Fallow,Medium
-18.8254,-10.3265,-8.498899999999999,1.2246467991473532e-16,-1.0,2,14.8,Fallow,Medium
-18.8262,-8.8883,-9.9379,1.2246467991473532e-16,-1.0,2,15.4,Fallow,Medium
-15.7074,-9.74809,-5.95931,1.2246467991473532e-16,-1.0,2,19.6,Fallow,Medium
-17.9888,-10.5017,-7.487100000000002,1.2246467991473532e-16,-1.0,2,11.4,Fallow,Low
-16.1815,-9.37847,-6.80303,1.2246467991473532e-16,-1.0,2,14.3,Fallow,Medium
-17.3963,-9.70156,-7.6947399999999995,1.2246467991473532e-16,-1.0,2,16.6,Fallow,Medium
-17.5039,-9.70822,-7.795680000000001,1.2246467991473532e-16,-1.0,2,12.533333333333333,Fallow,Medium
-19.2008,-10.3729,-8.827900000000001,1.2246467991473532e-16,-1.0,2,18.9,Fallow,Medium
-20.3727,-10.9433,-9.429399999999998,1.2246467991473532e-16,-1.0,2,13.0,Fallow,Medium
-17.9643,-10.5367,-7.427600000000002,1.2246467991473532e-16,-1.0,2,16.1,Fallow,Medium
-17.5357,-10.458,-7.077699999999998,1.2246467991473532e-16,-1.0,2,9.5,Fallow,Low
-18.7133,-10.4917,-8.2216,1.2246467991473532e-16,-1.0,2,11.533333333333333,Fallow,Low
