VH-pol,VV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,NDVI,SM1 (%),Crop Name,label
-20.7219,-12.3306,-8.391300000000001,1.2246467991473532e-16,-1.0,2,0.1186478659510612,3.6,Fallow,Low
-20.0113,-12.1021,-7.9091999999999985,1.2246467991473532e-16,-1.0,2,0.1335430890321731,4.0,Fallow,Low
-21.8338,-12.6317,-9.2021,1.2246467991473532e-16,-1.0,2,0.1071495935320854,14.3,Fallow,Medium
-21.9811,-12.0595,-9.921600000000002,1.2246467991473532e-16,-1.0,2,0.112663947045803,4.733333333333333,Fallow,Low
-18.1402,-12.5663,-5.5739,1.2246467991473532e-16,-1.0,2,0.1365886926651001,8.8,Fallow,Low
-19.1513,-11.4172,-7.7341,1.2246467991473532e-16,-1.0,2,0.2021806389093399,7.5,Fallow,Low
-19.576,-11.0103,-8.5657,1.2246467991473532e-16,-1.0,2,0.1541943401098251,16.5,Fallow,Medium
-18.5322,-10.5402,-7.991999999999999,1.2246467991473532e-16,-1.0,2,0.1290243119001388,5.1,Fallow,Low
-19.2907,-11.8609,-7.4298,1.2246467991473532e-16,-1.0,2,0.1214201301336288,5.033333333333333,Fallow,Low
-19.7057,-11.8149,-7.8908000000000005,1.2246467991473532e-16,-1.0,2,0.1630949825048446,10.1,Fallow,Low
-20.1477,-12.5277,-7.620000000000001,1.2246467991473532e-16,-1.0,2,0.1954245269298553,4.0,Fallow,Low
-19.3053,-11.3072,-7.998099999999999,1.2246467991473532e-16,-1.0,2,0.2889640927314758,10.9,Fallow,Low
-17.4265,-10.7271,-6.699400000000001,1.2246467991473532e-16,-1.0,2,0.3908055424690246,12.1,Fallow,Medium
-19.9231,-10.9545,-8.968600000000002,1.2246467991473532e-16,-1.0,5,0.1772468835115432,7.6,Jowar,Low
-21.3386,-13.1527,-8.1859,1.2246467991473532e-16,-1.0,2,0.1569158285856247,4.5,Fallow,Low
-19.2902,-11.0875,-8.202699999999998,1.2246467991473532e-16,-1.0,2,0.2194691747426986,9.2,Fallow,Low
-18.6875,-12.2219,-6.4656,1.2246467991473532e-16,-1.0,2,0.1722785085439682,8.6,Fallow,Low
-17.7212,-10.433,-7.2882,1.2246467991473532e-16,-1.0,2,0.2889245450496673,5.3,Fallow,Low
-19.0286,-11.6004,-7.4282,1.2246467991473532e-16,-1.0,2,0.1593032628297805,8.8,Fallow,Low
-17.2037,-11.6349,-5.568800000000001,1.2246467991473532e-16,-1.0,2,0.2040406912565231,7.9,Fallow,Low
-20.3589,-11.9589,-8.399999999999999,1.2246467991473532e-16,-1.0,2,0.1567989587783813,8.0,Fallow,Low
-19.5296,-13.0626,-6.466999999999999,1.2246467991473532e-16,-1.0,2,0.1823331862688064,7.5,Fallow,Low
-19.5386,-12.8276,-6.7109999999999985,1.2246467991473532e-16,-1.0,2,0.145722433924675,7.7,Fallow,Low
-20.6152,-12.8842,-7.731000000000002,1.2246467991473532e-16,-1.0,2,0.1320866048336029,6.533333333333333,Fallow,Low
-20.3636,-11.917,-8.446600000000002,1.2246467991473532e-16,-1.0,2,0.1413009762763977,10.1,Fallow,Low
-18.7258,-12.2486,-6.4772,1.2246467991473532e-16,-1.0,2,0.1924510598182678,7.3,Fallow,Low
-19.7596,-10.9705,-8.7891,1.2246467991473532e-16,-1.0,2,0.1354057043790817,5.7,Fallow,Low
-20.4533,-11.8024,-8.650899999999998,1.2246467991473532e-16,-1.0,2,0.2262254357337951,10.9,Fallow,Low
-19.3009,-10.99,-8.310899999999998,1.2246467991473532e-16,-1.0,2,0.1228112503886222,11.166666666666666,Fallow,Low
-19.5784,-11.815,-7.763399999999999,1.2246467991473532e-16,-1.0,2,0.1973538249731063,7.2,Fallow,Low
-19.0005,-10.1774,-8.823099999999998,1.2246467991473532e-16,-1.0,2,0.1717415601015091,12.2,Fallow,Medium
-20.2981,-13.0725,-7.225600000000002,1.2246467991473532e-16,-1.0,2,0.1242507025599479,3.6,Fallow,Low
-18.6986,-12.9887,-5.709899999999999,1.2246467991473532e-16,-1.0,2,0.2015329450368881,3.5,Fallow,Low
-18.6986,-12.9887,-5.709899999999999,1.2246467991473532e-16,-1.0,2,0.2015329450368881,5.0,Fallow,Low
-18.8858,-12.7639,-6.1219,1.2246467991473532e-16,-1.0,2,0.1897681206464767,4.1,Fallow,Low
-18.6744,-14.7882,-3.8861999999999988,1.2246467991473532e-16,-1.0,2,0.2524005472660064,2.0,Fallow,Low
-18.1245,-11.8757,-6.248800000000001,1.2246467991473532e-16,-1.0,2,0.2455248236656189,3.3,Fallow,Low
-18.1373,-9.5247,-8.61261,1.2246467991473532e-16,-1.0,2,0.1585376560688018,26.5,Fallow,High
-18.6367,-12.9881,-5.648600000000002,1.2246467991473532e-16,-1.0,2,0.1741350442171096,3.566666666666667,Fallow,Low
-17.8404,-11.0006,-6.8397999999999985,1.2246467991473532e-16,-1.0,2,0.3966605067253113,3.5,Fallow,Low
-15.8711,-10.3787,-5.4924,1.2246467991473532e-16,-1.0,13,0.6225171685218811,9.7,Pearl Millet,Low
-15.8287,-10.267,-5.5617,1.2246467991473532e-16,-1.0,13,0.6459063291549683,8.1,Pearl Millet,Low
-17.1435,-12.7799,-4.3636,1.2246467991473532e-16,-1.0,2,0.2892431020736694,4.2,Fallow,Low
-16.2,-9.9545,-6.245489999999998,1.2246467991473532e-16,-1.0,13,0.4104234874248504,9.8,Pearl Millet,Low
-17.9406,-11.2444,-6.696199999999999,1.2246467991473532e-16,-1.0,2,0.1955631673336029,2.3,Fallow,Low
-19.0359,-13.158,-5.877900000000002,1.2246467991473532e-16,-1.0,2,0.1864010691642761,3.8,Fallow,Low
-19.1968,-13.1986,-5.998199999999999,1.2246467991473532e-16,-1.0,2,0.322505384683609,5.8,Fallow,Low
-19.8453,-12.2207,-7.624600000000001,1.2246467991473532e-16,-1.0,2,0.1677094846963882,3.4,Fallow,Low
-18.9673,-13.193,-5.774300000000002,1.2246467991473532e-16,-1.0,2,0.1876011192798614,3.7333333333333334,Fallow,Low
-12.4202,-4.0833,-8.33688,1.2246467991473532e-16,-1.0,2,0.1429961025714874,5.8,Fallow,Low
-18.721,-12.5351,-6.1859,1.2246467991473532e-16,-1.0,2,0.311475396156311,5.9,Fallow,Low
-17.8501,-12.9101,-4.940000000000001,1.2246467991473532e-16,-1.0,2,0.5049384236335754,4.9,Fallow,Low
-17.855,-11.9229,-5.9321,1.2246467991473532e-16,-1.0,2,0.7284581661224365,8.9,Fallow,Low
-18.7179,-13.9241,-4.793800000000001,1.2246467991473532e-16,-1.0,8,0.5488958954811096,4.1,Maize,Low
-19.5663,-12.6875,-6.878799999999998,1.2246467991473532e-16,-1.0,2,0.1176416650414466,5.0,Fallow,Low
-18.2036,-10.7414,-7.462200000000001,1.2246467991473532e-16,-1.0,2,0.1127193868160247,21.7,Fallow,Medium
-18.3039,-10.6748,-7.629099999999999,1.2246467991473532e-16,-1.0,2,0.1296930313110351,6.0,Fallow,Low
-21.3491,-11.5331,-9.816,1.2246467991473532e-16,-1.0,2,0.1455213874578476,5.7,Fallow,Low
-20.7451,-11.5035,-9.2416,1.2246467991473532e-16,-1.0,2,0.1506538540124893,4.933333333333334,Fallow,Low
-20.8577,-11.333,-9.524700000000001,1.2246467991473532e-16,-1.0,2,0.1394911706447601,6.6,Fallow,Low
-21.0438,-12.3345,-8.7093,1.2246467991473532e-16,-1.0,2,0.1038734093308448,4.5,Fallow,Low
-18.9432,-11.5601,-7.383100000000001,1.2246467991473532e-16,-1.0,2,0.1145199090242385,4.9,Fallow,Low
-18.3864,-10.0126,-8.373799999999997,1.2246467991473532e-16,-1.0,2,0.2512223720550537,6.5,Fallow,Low
-20.6445,-12.8325,-7.812000000000001,1.2246467991473532e-16,-1.0,2,0.1546597331762313,6.7,Fallow,Low
-18.6002,-11.1986,-7.4016,1.2246467991473532e-16,-1.0,2,0.6731905341148376,1.3,Fallow,Low
-19.1392,-11.5026,-7.6366,1.2246467991473532e-16,-1.0,2,0.2225230783224105,1.5,Fallow,Low
-20.6624,-12.4355,-8.226900000000002,1.2246467991473532e-16,-1.0,2,0.1597399860620498,5.5,Fallow,Low
-19.0949,-12.3996,-6.6953,1.2246467991473532e-16,-1.0,2,0.1556384712457656,6.6,Fallow,Low
-20.4645,-12.0929,-8.3716,1.2246467991473532e-16,-1.0,2,0.1564109027385711,4.733333333333333,Fallow,Low
-20.6736,-14.1688,-6.504800000000001,1.2246467991473532e-16,-1.0,2,0.1320728212594986,6.7,Fallow,Low
-19.1429,-10.9734,-8.169500000000001,1.2246467991473532e-16,-1.0,2,0.1731870174407959,5.1,Fallow,Low
-19.784,-12.0015,-7.782499999999999,1.2246467991473532e-16,-1.0,2,0.1240800321102142,4.5,Fallow,Low
-20.3815,-12.5045,-7.876999999999999,1.2246467991473532e-16,-1.0,2,0.3308253586292267,12.3,Fallow,Medium
-19.2682,-11.2334,-8.0348,1.2246467991473532e-16,-1.0,2,0.1180537715554237,5.466666666666667,Fallow,Low
-18.6729,-12.1888,-6.484099999999998,1.2246467991473532e-16,-1.0,2,0.1809696406126022,5.8,Fallow,Low
-19.1204,-11.7374,-7.383000000000001,1.2246467991473532e-16,-1.0,2,0.1254009157419204,24.8,Fallow,High
-17.6467,-12.4244,-5.222299999999999,1.2246467991473532e-16,-1.0,2,0.2491219788789749,10.7,Fallow,Low
-19.7242,-11.6339,-8.0903,1.2246467991473532e-16,-1.0,2,0.1507121175527572,5.0,Fallow,Low
-20.4652,-12.5777,-7.887499999999999,1.2246467991473532e-16,-1.0,2,0.1775596886873245,5.8999999999999995,Fallow,Low
-18.1103,-12.7424,-5.367899999999999,1.2246467991473532e-16,-1.0,2,0.2889758646488189,31.9,Fallow,High
-19.7501,-14.2123,-5.537799999999999,1.2246467991473532e-16,-1.0,2,0.238094300031662,5.4,Fallow,Low
-18.4144,-11.5915,-6.822900000000001,1.2246467991473532e-16,-1.0,2,0.1776973754167556,4.7,Fallow,Low
-18.519,-12.6514,-5.867599999999998,1.2246467991473532e-16,-1.0,2,0.1222675368189811,1.9,Fallow,Low
-19.0525,-12.857,-6.195499999999999,1.2246467991473532e-16,-1.0,2,0.136062204837799,2.1333333333333333,Fallow,Low
-17.0171,-9.9774,-7.03974,1.2246467991473532e-16,-1.0,2,0.1634751558303833,23.3,Fallow,Medium
-18.1488,-11.3335,-6.815300000000001,1.2246467991473532e-16,-1.0,2,0.1392727345228195,7.1,Fallow,Low
-18.4554,-11.4813,-6.974100000000002,1.2246467991473532e-16,-1.0,2,0.1223924756050109,5.2,Fallow,Low
-17.4858,-9.9775,-7.508310000000002,1.2246467991473532e-16,-1.0,2,0.5940971374511719,5.7,Fallow,Low
-18.2665,-11.7643,-6.5022,1.2246467991473532e-16,-1.0,2,0.1762510240077972,5.166666666666666,Fallow,Low
-19.6852,-11.6614,-8.023799999999998,1.2246467991473532e-16,-1.0,2,0.1648730933666229,5.5,Fallow,Low
-19.8313,-12.2824,-7.548899999999998,1.2246467991473532e-16,-1.0,2,0.1079679429531097,3.6,Fallow,Low
-20.0535,-10.3556,-9.697899999999999,1.2246467991473532e-16,-1.0,2,0.1752125024795532,6.2,Fallow,Low
-20.7023,-13.6124,-7.089900000000002,1.2246467991473532e-16,-1.0,2,0.1442600041627884,7.3,Fallow,Low
-20.0557,-12.9406,-7.115100000000002,1.2246467991473532e-16,-1.0,2,0.1543880701065063,7.333333333333334,Fallow,Low
-16.7031,-8.9046,-7.7985299999999995,1.2246467991473532e-16,-1.0,2,0.1102310642600059,10.9,Fallow,Low
-17.6459,-9.1992,-8.44673,1.2246467991473532e-16,-1.0,2,0.0898200869560241,20.3,Fallow,Medium
-17.7947,-7.141,-10.653669999999998,1.2246467991473532e-16,-1.0,2,0.09640634059906,36.0,Fallow,High
-17.0656,-9.7358,-7.32976,1.2246467991473532e-16,-1.0,7,0.188763290643692,23.5,Lemon,Medium
-17.5226,-7.1224,-10.40024,1.2246467991473532e-16,-1.0,2,0.1713807433843612,36.6,Fallow,High
-17.4581,-9.4145,-8.043560000000001,1.2246467991473532e-16,-1.0,2,0.1950492709875106,11.4,Fallow,Low
-19.0145,-8.0251,-10.989390000000002,1.2246467991473532e-16,-1.0,2,0.0988085195422172,15.0,Fallow,Medium
-17.5656,-8.457,-9.10863,1.2246467991473532e-16,-1.0,2,0.1720164865255355,14.0,Fallow,Medium
-18.8254,-10.3265,-8.498899999999999,1.2246467991473532e-16,-1.0,2,0.1145041957497596,14.8,Fallow,Medium
-18.8262,-8.8883,-9.9379,1.2246467991473532e-16,-1.0,2,0.2776595056056976,15.4,Fallow,Medium
-15.7074,-9.7481,-5.95931,1.2246467991473532e-16,-1.0,2,0.1503551006317138,19.6,Fallow,Medium
-17.9888,-10.5017,-7.487100000000002,1.2246467991473532e-16,-1.0,2,0.1119412705302238,11.4,Fallow,Low
-16.1815,-9.3785,-6.80303,1.2246467991473532e-16,-1.0,2,0.0945324078202247,14.3,Fallow,Medium
-17.3963,-9.7016,-7.6947399999999995,1.2246467991473532e-16,-1.0,2,0.0874999985098838,16.6,Fallow,Medium
-17.5039,-9.7082,-7.795680000000001,1.2246467991473532e-16,-1.0,2,0.1034096330404281,12.533333333333333,Fallow,Medium
-19.2008,-10.3729,-8.827900000000001,1.2246467991473532e-16,-1.0,2,0.1149176731705665,18.9,Fallow,Medium
-20.3727,-10.9433,-9.429399999999998,1.2246467991473532e-16,-1.0,2,0.0868297815322876,13.0,Fallow,Medium
-17.9643,-10.5367,-7.427600000000002,1.2246467991473532e-16,-1.0,2,0.1453050523996353,16.1,Fallow,Medium
-17.5357,-10.458,-7.077699999999998,1.2246467991473532e-16,-1.0,2,0.3878940045833587,9.5,Fallow,Low
-18.7133,-10.4917,-8.2216,1.2246467991473532e-16,-1.0,2,0.1231814250349998,11.533333333333333,Fallow,Low
-19.2004,-11.362,-7.838399999999998,1.2246467991473532e-16,-1.0,2,0.0931938216090202,11.0,Fallow,Low
-19.3545,-10.3853,-8.9692,1.2246467991473532e-16,-1.0,2,0.0844322964549064,11.7,Fallow,Low
-18.0262,-9.2874,-8.73884,1.2246467991473532e-16,-1.0,2,0.0760211050510406,12.6,Fallow,Medium
-17.6701,-10.0759,-7.594200000000001,1.2246467991473532e-16,-1.0,2,0.0856981575489044,9.0,Fallow,Low
-17.6741,-9.7837,-7.890379999999999,1.2246467991473532e-16,-1.0,2,0.097314216196537,9.433333333333334,Fallow,Low
-17.0522,-10.5809,-6.471299999999999,1.2246467991473532e-16,-1.0,2,0.1277683228254318,11.3,Fallow,Low
-17.3994,-8.693,-8.70639,1.2246467991473532e-16,-1.0,2,0.1772683262825012,11.4,Fallow,Low
-18.8472,-10.0669,-8.7803,1.2246467991473532e-16,-1.0,2,0.088839054107666,13.0,Fallow,Medium
-17.0854,-11.3063,-5.7791,1.2246467991473532e-16,-1.0,2,0.0986956730484962,13.1,Fallow,Medium
-18.8801,-10.494,-8.386099999999999,1.2246467991473532e-16,-1.0,2,0.0904269218444824,11.233333333333333,Fallow,Low
-17.9791,-10.2571,-7.7219999999999995,1.2246467991473532e-16,-1.0,2,0.1654956340789795,8.1,Fallow,Low
-19.4073,-10.8857,-8.5216,1.2246467991473532e-16,-1.0,2,0.1478973776102066,8.7,Fallow,Low
-18.6614,-9.7526,-8.90882,1.2246467991473532e-16,-1.0,2,0.1537629812955856,13.9,Fallow,Medium
-17.8863,-10.2799,-7.606399999999999,1.2246467991473532e-16,-1.0,2,0.1326700150966644,10.4,Fallow,Low
-18.8169,-10.4305,-8.3864,1.2246467991473532e-16,-1.0,2,0.1293511539697647,11.9,Fallow,Medium
-18.6682,-12.405,-6.263199999999999,1.2246467991473532e-16,-1.0,2,0.117997720837593,10.1,Fallow,Low
-19.2397,-12.6364,-6.603299999999999,1.2246467991473532e-16,-1.0,2,0.2520277798175812,11.6,Fallow,Low
-19.3978,-10.1275,-9.2703,1.2246467991473532e-16,-1.0,2,0.0888526514172554,15.2,Fallow,Medium
-17.1492,-10.9413,-6.2079,1.2246467991473532e-16,-1.0,2,0.1449936032295227,7.2,Fallow,Low
