,NDVI
0,0.10771914571523666
1,0.08974359184503555
2,0.0946180522441864
3,0.18864291906356812
4,0.1814059019088745
5,0.12775665521621704
6,0.10664606094360352
7,0.23622383177280426
8,0.12893082201480865
9,0.14703617990016937
10,0.2271880805492401
11,0.10722100734710693
12,0.09951845556497574
13,0.1520467847585678
14,0.10155609995126724
15,0.11283095926046371
16,0.0914105623960495
17,0.12715603411197662
18,0.4406912922859192
19,0.12389039248228073
20,0.10079464316368103
21,0.08557046949863434
22,0.07917888462543488
23,0.08297690004110336
24,0.10114192217588425
25,0.11542100459337234
26,0.18546845018863678
27,0.08671064674854279
28,0.11019283533096313
29,0.0898524820804596
30,
31,0.14884233474731445
32,0.14731021225452423
33,0.11288604885339737
34,0.12295868992805481
35,0.10593607276678085
36,0.13687287271022797
37,0.15487849712371826
38,0.16767068207263947
39,0.15789473056793213
40,0.1594064086675644
41,0.2388664036989212
42,0.29370322823524475
43,0.598556637763977
44,0.148505300283432
45,0.07134681195020676
46,0.11229508370161057
47,0.13531669974327087
48,0.09015371650457382
49,0.0975908562541008
50,0.13419117033481598
51,0.17484275996685028
52,0.11871657520532608
53,0.14820760488510132
54,0.12878446280956268
55,0.12486308813095093
56,0.15596330165863037
57,0.2089470773935318
58,0.17966784536838531
59,0.1415337175130844
60,0.13599126040935516
61,0.12991538643836975
62,0.14927953481674194
63,0.3251994252204895
64,0.13300491869449615
65,0.14740431308746338
66,0.09321058541536331
67,0.11335012316703796
68,0.0615980289876461
69,0.0900225043296814
70,0.11708586663007736
71,0.1618221253156662
72,0.15947136282920837
73,0.1644100546836853
74,0.10587188601493835
75,0.4419306218624115
76,0.2553578019142151
77,0.11135371029376984
78,0.1356119066476822
79,0.12646198272705078
80,0.24353447556495667
81,0.16615067422389984
82,0.227009117603302
83,0.31012657284736633
84,0.14370959997177124
85,0.0992753654718399
86,0.1351909190416336
87,0.1150643453001976
88,0.09624674916267395
89,0.09538894891738892
90,0.17613635957241058
91,0.2923462986946106
92,0.3127538561820984
93,0.19655358791351318
94,0.3251231610774994
95,0.17714285850524902
96,0.15804003179073334
97,0.3296482264995575
98,0.12585444748401642
99,0.1813214123249054
100,0.14299610257148743
101,0.2901119291782379
102,0.13716404139995575
103,0.7318975329399109
104,0.12058570235967636
105,0.09360730648040771
106,0.09887005388736725
107,0.0879940316081047
108,0.10509554296731949
109,0.15149040520191193
110,0.07824888080358505
111,0.07589984685182571
112,0.10697674751281738
113,0.11180610209703445
114,0.09304603189229965
115,0.20295622944831848
116,0.22399559617042542
117,0.12449392676353455
118,0.11973497271537781
119,0.13629555702209473
120,0.10122038424015045
121,0.09682243317365646
122,0.0884157344698906
123,0.10726915299892426
124,0.08406026661396027
125,0.24914005398750305
126,0.14024041593074799
127,0.13681738078594208
128,0.09493458271026611
129,0.20688007771968842
130,0.2853025794029236
131,0.18559837341308594
132,0.14020857214927673
133,0.07654920965433121
134,0.095238097012043
135,0.1659919023513794
136,0.12020841240882874
137,0.0954616591334343
138,0.16436780989170074
139,0.1196054220199585
140,0.208906888961792
141,0.07496927678585052
142,0.1648535579442978
143,0.10204081982374191
144,0.11787072569131851
145,0.10771914571523666
146,0.08974359184503555
147,0.0946180522441864
148,0.18864291906356812
