label,lr,n_estimators,tau_lo,tau_hi,msl,depth,sub,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW
PICP_92.8pct,0.032,450,0.15,0.85,22,4,1.0,5.222,0.8816,26.9431,0.9281,25.8482
PICP_92.2pct,0.025,550,0.15,0.85,25,4,1.0,4.9259,0.9013,26.553,0.9216,25.7908
MPIW_25.27,0.025,800,0.15,0.85,25,4,1.0,4.9038,0.8882,26.0646,0.902,25.2749
