rank,picp_bucket,lr,n_estimators,tau_lo,tau_hi,msl,depth,sub,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW,plot_file
33,90.2pct,0.032,400,0.15,0.85,25,4,1.0,4.7219,0.8947,26.3655,0.902,25.5285,90.2pct/rank33_picp90.2_mpiw25.53_lr0.032_n400_msl25_d4.png
34,90.2pct,0.04,400,0.15,0.85,22,4,1.0,5.0342,0.9079,26.5508,0.902,25.5426,90.2pct/rank34_picp90.2_mpiw25.54_lr0.04_n400_msl22_d4.png
35,90.2pct,0.032,450,0.15,0.85,25,4,1.0,4.8427,0.8882,26.4002,0.902,25.5828,90.2pct/rank35_picp90.2_mpiw25.58_lr0.032_n450_msl25_d4.png
36,90.2pct,0.032,550,0.15,0.85,25,4,1.0,5.0235,0.8816,26.3527,0.902,25.599,90.2pct/rank36_picp90.2_mpiw25.60_lr0.032_n550_msl25_d4.png
37,90.2pct,0.028,550,0.15,0.85,22,5,1.0,5.5444,0.8947,26.6602,0.902,25.6246,90.2pct/rank37_picp90.2_mpiw25.62_lr0.028_n550_msl22_d5.png
38,90.2pct,0.04,450,0.15,0.85,22,4,1.0,5.1766,0.9013,26.6973,0.902,25.6901,90.2pct/rank38_picp90.2_mpiw25.69_lr0.04_n450_msl22_d4.png
39,90.2pct,0.028,600,0.15,0.85,22,5,1.0,5.6709,0.8947,26.7458,0.902,25.6952,90.2pct/rank39_picp90.2_mpiw25.70_lr0.028_n600_msl22_d5.png
40,90.2pct,0.035,550,0.15,0.85,25,4,1.0,5.1104,0.8947,26.3963,0.902,25.7316,90.2pct/rank40_picp90.2_mpiw25.73_lr0.035_n550_msl25_d4.png
41,90.2pct,0.02,700,0.15,0.85,20,5,1.0,5.7641,0.8816,26.7563,0.902,25.7508,90.2pct/rank41_picp90.2_mpiw25.75_lr0.02_n700_msl20_d5.png
42,90.2pct,0.02,600,0.15,0.85,20,5,1.0,5.6664,0.8816,26.7375,0.902,25.7588,90.2pct/rank42_picp90.2_mpiw25.76_lr0.02_n600_msl20_d5.png
43,90.2pct,0.02,450,0.15,0.85,30,4,1.0,4.7459,0.9079,26.6539,0.902,25.7638,90.2pct/rank43_picp90.2_mpiw25.76_lr0.02_n450_msl30_d4.png
44,90.2pct,0.02,800,0.15,0.85,15,4,1.0,5.2623,0.9013,26.8053,0.902,25.7763,90.2pct/rank44_picp90.2_mpiw25.78_lr0.02_n800_msl15_d4.png
45,90.2pct,0.02,400,0.15,0.85,20,5,1.0,5.2678,0.8947,26.8551,0.902,25.7771,90.2pct/rank45_picp90.2_mpiw25.78_lr0.02_n400_msl20_d5.png
46,90.2pct,0.025,700,0.15,0.85,30,4,1.0,5.2117,0.8947,26.5492,0.902,25.7971,90.2pct/rank46_picp90.2_mpiw25.80_lr0.025_n700_msl30_d4.png
47,90.2pct,0.03,500,0.15,0.85,22,5,1.0,5.6436,0.9079,26.735,0.902,25.8,90.2pct/rank47_picp90.2_mpiw25.80_lr0.03_n500_msl22_d5.png
48,90.2pct,0.025,600,0.15,0.85,25,5,1.0,5.494,0.9013,26.5054,0.902,25.8098,90.2pct/rank48_picp90.2_mpiw25.81_lr0.025_n600_msl25_d5.png
49,90.2pct,0.032,800,0.15,0.85,25,4,1.0,5.4034,0.8816,26.6201,0.902,25.8152,90.2pct/rank49_picp90.2_mpiw25.82_lr0.032_n800_msl25_d4.png
50,90.2pct,0.025,550,0.15,0.85,15,4,0.8,5.4358,0.8947,26.736,0.902,25.8226,90.2pct/rank50_picp90.2_mpiw25.82_lr0.025_n550_msl15_d4.png
