rank,lr,n_estimators,tau_lo,tau_hi,msl,depth,sub,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW
1,0.025,800,0.15,0.85,25,4,1.0,4.9038,0.8882,26.0646,0.902,25.2749
2,0.028,500,0.15,0.85,22,5,1.0,5.3133,0.8947,26.4107,0.902,25.3859
3,0.02,450,0.15,0.85,20,5,1.0,5.237,0.8882,26.5423,0.902,25.4539
4,0.035,700,0.15,0.85,25,4,1.0,5.1664,0.8947,26.1537,0.9085,25.4656
5,0.025,600,0.15,0.85,25,4,1.0,4.7985,0.8882,26.2526,0.902,25.4755
