param_C,param_gamma,param_q_lower,param_q_upper,val.PICP,val.MPIW,test.PICP,test.MPIW,param_gamma_str
64,3.0517578125e-05,0.025,0.975,0.8978102189781022,42.20445599774713,0.9562043795620438,42.2040587065245,2^-15
64,6.103515625e-05,0.025,0.975,0.8978102189781022,42.2089083234325,0.9562043795620438,42.20811375416447,2^-14
64,0.0001220703125,0.025,0.975,0.8978102189781022,42.19870213287423,0.9562043795620438,42.197456455377434,2^-13
64,0.000244140625,0.025,0.975,0.8978102189781022,42.13075896618568,0.9562043795620438,42.12826877574727,2^-12
64,0.00048828125,0.025,0.975,0.8978102189781022,42.010600107953856,0.9562043795620438,42.00675598477471,2^-11
64,0.0009765625,0.025,0.975,0.8978102189781022,41.78442771774445,0.948905109489051,41.78037132935577,2^-10
64,0.001953125,0.025,0.975,0.8978102189781022,41.185312733918025,0.948905109489051,41.17667540796419,2^-9
64,0.00390625,0.025,0.975,0.8978102189781022,40.08052789502162,0.9416058394160584,40.082844659756965,2^-8
64,0.0078125,0.025,0.975,0.8978102189781022,39.20927917733752,0.9416058394160584,39.27800970717077,2^-7
64,0.015625,0.025,0.975,0.8978102189781022,37.84339372881296,0.9416058394160584,38.04040399485175,2^-6
64,0.03125,0.025,0.975,0.8832116788321168,36.954497941981685,0.9416058394160584,37.274947968506254,2^-5
64,0.0625,0.025,0.975,0.8905109489051095,36.18356209061771,0.927007299270073,36.64651186555415,2^-4
64,0.125,0.025,0.975,0.8905109489051095,35.13802038659381,0.927007299270073,35.67594946185018,2^-3
64,0.25,0.025,0.975,0.8832116788321168,34.21795247709648,0.8978102189781022,34.69432691174717,2^-2
64,0.5,0.025,0.975,0.8832116788321168,34.020044869340886,0.9124087591240876,34.308234379567814,2^-1
64,1.0,0.025,0.975,0.8905109489051095,33.65561483531091,0.9197080291970803,33.67148928566704,2^0
64,2.0,0.025,0.975,0.8832116788321168,33.157577938898505,0.9197080291970803,33.09808271753027,2^1
64,4.0,0.025,0.975,0.8759124087591241,31.28858996998388,0.9051094890510949,31.06470904340723,2^2
64,8.0,0.025,0.975,0.8686131386861314,30.631493326641017,0.8978102189781022,30.30553317256398,2^3
64,16.0,0.025,0.975,0.8394160583941606,29.270804893285884,0.8540145985401459,28.188656850407376,2^4
64,32.0,0.025,0.975,0.8029197080291971,26.942422687468262,0.8248175182481752,25.775760948823244,2^5
64,64.0,0.025,0.975,0.7007299270072993,23.09960831249946,0.7153284671532847,21.527080606511706,2^6
64,128.0,0.025,0.975,0.5912408759124088,19.24498068851813,0.5620437956204379,17.85583458614588,2^7
64,256.0,0.025,0.975,0.46715328467153283,15.603554210259754,0.45985401459854014,14.384814894470708,2^8
64,512.0,0.025,0.975,0.31386861313868614,11.633501371472931,0.2846715328467153,10.010851924010273,2^9
64,1024.0,0.025,0.975,0.1897810218978102,7.120145537047862,0.15328467153284672,5.775731615156923,2^10
64,2048.0,0.025,0.975,0.08029197080291971,3.4898585429179083,0.043795620437956206,2.861026681499628,2^11
64,4096.0,0.025,0.975,0.014598540145985401,1.416074999364932,0.021897810218978103,1.3046560948305557,2^12
64,8192.0,0.025,0.975,0.0072992700729927005,0.4953512707188471,0.0,0.5769424902820985,2^13
64,16384.0,0.025,0.975,0.0,0.15326555435753392,0.0,0.24983702578373743,2^14
64,32768.0,0.025,0.975,0.0,0.03728859826750671,0.0,0.08629225599927051,2^15
