min_samples_leaf,max_depth,n_estimators,subsample,tau_lo,tau_hi,q_hat,base_w_cal,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
10,3,200,0.8,0.1,0.9,6.180551,19.4118,20.0535,0.931373,32.004013,0.931707,32.414595
10,3,300,1.0,0.025,0.975,1.841405,30.3443,31.1734,0.95098,34.317537,0.970732,34.856246
10,3,300,1.0,0.1,0.9,5.673672,19.5547,20.0745,0.931373,30.886966,0.917073,31.421866
10,3,300,0.8,0.025,0.975,2.478609,29.0066,29.9091,0.941176,34.126571,0.960976,34.866361
10,3,300,0.8,0.1,0.9,6.186179,18.8789,19.5081,0.931373,31.445809,0.921951,31.880506
10,4,200,1.0,0.025,0.975,1.644294,29.8428,30.8222,0.936275,33.263428,0.95122,34.110812
10,4,200,1.0,0.1,0.9,5.737917,19.2498,19.254,0.916667,30.618106,0.926829,30.729827
10,4,200,0.8,0.025,0.975,1.740081,28.9728,29.6906,0.936275,32.693988,0.941463,33.170791
10,4,200,0.8,0.1,0.9,6.56746,18.4956,19.0184,0.931373,31.660508,0.931707,32.153281
10,4,300,1.0,0.025,0.975,1.742051,28.9154,30.0442,0.931373,32.496075,0.931707,33.528346
10,4,300,1.0,0.1,0.9,5.72006,18.9595,18.9541,0.911765,30.197313,0.921951,30.394221
10,4,300,0.8,0.025,0.975,1.975067,28.5314,29.2671,0.941176,32.658057,0.946341,33.217218
10,4,300,0.8,0.1,0.9,6.485056,17.8435,18.3643,0.921569,30.817089,0.931707,31.334412
10,5,200,1.0,0.025,0.975,1.857706,28.877,29.7948,0.941176,33.038486,0.956098,33.510259
10,5,200,1.0,0.1,0.9,6.461166,18.2745,18.6834,0.921569,30.976568,0.931707,31.605708
10,5,200,0.8,0.025,0.975,2.250121,27.8033,28.5954,0.936275,32.51099,0.931707,33.095679
10,5,200,0.8,0.1,0.9,6.174819,17.8722,18.579,0.921569,30.259702,0.931707,30.928673
10,5,300,1.0,0.025,0.975,2.145639,27.8333,28.7843,0.931373,32.479455,0.95122,33.075554
10,5,300,1.0,0.1,0.9,6.819597,17.9453,18.3855,0.926471,31.335295,0.926829,32.024718
10,5,300,0.8,0.025,0.975,2.92118,26.8559,27.6307,0.936275,32.806274,0.941463,33.473012
10,5,300,0.8,0.1,0.9,6.562507,17.09,17.7891,0.916667,30.220588,0.917073,30.914105
20,3,200,1.0,0.025,0.975,1.192803,30.7154,31.596,0.941176,33.4041,0.95122,33.981606
20,3,200,1.0,0.1,0.9,5.201972,19.7522,19.9733,0.921569,30.16499,0.921951,30.377242
20,3,200,0.8,0.025,0.975,1.775419,30.265,30.7609,0.941176,33.897267,0.956098,34.311716
20,3,200,0.8,0.1,0.9,6.250842,19.585,20.373,0.931373,32.185529,0.941463,32.874686
20,3,300,1.0,0.025,0.975,2.235981,30.1003,30.9907,0.946078,34.712496,0.970732,35.462635
20,3,300,1.0,0.1,0.9,5.901119,19.4259,19.6064,0.926471,31.162181,0.921951,31.408666
20,3,300,0.8,0.025,0.975,1.960054,29.4776,29.9937,0.936275,33.368537,0.95122,33.913763
20,3,300,0.8,0.1,0.9,5.947083,18.9808,19.6695,0.916667,30.866162,0.931707,31.563693
20,4,200,1.0,0.025,0.975,1.160876,29.9461,30.503,0.936275,32.470169,0.936585,32.824719
20,4,200,1.0,0.1,0.9,6.186515,19.0994,19.4936,0.921569,31.31095,0.926829,31.866678
20,4,200,0.8,0.025,0.975,2.074601,29.2034,29.8747,0.936275,33.524847,0.946341,34.023905
20,4,200,0.8,0.1,0.9,6.748687,18.8151,19.5036,0.926471,32.401964,0.941463,33.001017
20,4,300,1.0,0.025,0.975,1.497263,29.0444,29.5826,0.931373,32.133801,0.941463,32.577129
20,4,300,1.0,0.1,0.9,5.748826,18.7266,19.0964,0.916667,30.076263,0.921951,30.594031
20,4,300,0.8,0.025,0.975,2.305227,28.2688,28.9481,0.936275,32.952567,0.936585,33.558588
20,4,300,0.8,0.1,0.9,6.811258,18.1147,18.8068,0.916667,31.823709,0.936585,32.429345
20,5,200,1.0,0.025,0.975,1.726925,29.1372,30.0366,0.936275,32.809144,0.946341,33.490485
20,5,200,1.0,0.1,0.9,6.156307,18.6386,18.8837,0.921569,31.038844,0.921951,31.19635
20,5,200,0.8,0.025,0.975,2.377062,28.0555,28.8807,0.936275,32.953925,0.936585,33.634828
20,5,200,0.8,0.1,0.9,7.455404,18.0755,18.7092,0.931373,32.928869,0.936585,33.620014
20,5,300,1.0,0.025,0.975,2.051524,28.1678,29.0917,0.936275,32.394169,0.941463,33.194708
20,5,300,1.0,0.1,0.9,6.52656,18.0333,18.2332,0.916667,31.083847,0.921951,31.286286
20,5,300,0.8,0.025,0.975,2.710078,27.3179,28.1516,0.931373,32.856762,0.931707,33.571718
20,5,300,0.8,0.1,0.9,7.772135,17.3951,18.0252,0.926471,32.858219,0.936585,33.569507
