param_C,param_gamma,param_q_lower,param_q_upper,val.PICP,val.MPIW,test.PICP,test.MPIW,param_gamma_str
64,3.0517578125e-05,0.025,0.975,0.9775280898876404,41.99333015112254,0.9608938547486033,41.9935533665447,2^-15
64,6.103515625e-05,0.025,0.975,0.9775280898876404,41.98665967096754,0.9608938547486033,41.98710609802213,2^-14
64,0.0001220703125,0.025,0.975,0.9775280898876404,41.97332022663838,0.9608938547486033,41.974213048551874,2^-13
64,0.000244140625,0.025,0.975,0.9775280898876404,41.94664049774857,0.9608938547486033,41.94842602667624,2^-12
64,0.00048828125,0.025,0.975,0.9775280898876404,41.89328504491112,0.9608938547486033,41.89685563887024,2^-11
64,0.0009765625,0.025,0.975,0.9775280898876404,41.85281271700268,0.9608938547486033,41.85949251581473,2^-10
64,0.001953125,0.025,0.975,0.9775280898876404,41.93093997053137,0.9608938547486033,41.94657518754628,2^-9
64,0.00390625,0.025,0.975,0.9775280898876404,41.696317385890765,0.9608938547486033,41.724160138346086,2^-8
64,0.0078125,0.025,0.975,0.9775280898876404,41.4001814714981,0.9664804469273743,41.4545699741724,2^-7
64,0.015625,0.025,0.975,0.9831460674157303,40.71050856560156,0.9720670391061452,40.82534810111594,2^-6
64,0.03125,0.025,0.975,0.9831460674157303,40.02999250666413,0.9720670391061452,40.24864178604936,2^-5
64,0.0625,0.025,0.975,0.9775280898876404,39.20011493221919,0.9720670391061452,39.557997183764115,2^-4
64,0.125,0.025,0.975,0.9775280898876404,38.42352460507432,0.9664804469273743,38.9052762323878,2^-3
64,0.25,0.025,0.975,0.9775280898876404,37.891636228966185,0.9608938547486033,38.467873184858995,2^-2
64,0.5,0.025,0.975,0.9831460674157303,37.8552177468389,0.9608938547486033,38.349804605548606,2^-1
64,1.0,0.025,0.975,0.9775280898876404,36.62904892911791,0.9497206703910615,36.9931465134315,2^0
64,2.0,0.025,0.975,0.9775280898876404,36.767527884926054,0.9553072625698324,37.02368805216316,2^1
64,4.0,0.025,0.975,0.9775280898876404,36.23016084987025,0.9441340782122905,36.44881684563808,2^2
64,8.0,0.025,0.975,0.9662921348314607,36.684056380929405,0.9329608938547486,36.90953399712493,2^3
64,16.0,0.025,0.975,0.9606741573033708,36.568059725626206,0.9329608938547486,36.89303510612542,2^4
64,32.0,0.025,0.975,0.9606741573033708,35.80467002796139,0.9162011173184358,35.95743097200735,2^5
64,64.0,0.025,0.975,0.9550561797752809,34.98734952824786,0.8715083798882681,34.165340155581994,2^6
64,128.0,0.025,0.975,0.9213483146067416,33.635754633248,0.8435754189944135,33.20912972052305,2^7
64,256.0,0.025,0.975,0.8876404494382022,31.263863517563315,0.8044692737430168,30.655098160099005,2^8
64,512.0,0.025,0.975,0.8089887640449438,28.17932050445007,0.7430167597765364,27.69042668229402,2^9
64,1024.0,0.025,0.975,0.6966292134831461,24.41511424010662,0.6536312849162011,24.101938512899405,2^10
64,2048.0,0.025,0.975,0.6179775280898876,19.930209837988336,0.6201117318435754,20.41428155392016,2^11
64,4096.0,0.025,0.975,0.5280898876404494,15.534880444463882,0.4860335195530726,16.30204816542952,2^12
64,8192.0,0.025,0.975,0.43820224719101125,12.42049609730711,0.3687150837988827,12.198893301326875,2^13
64,16384.0,0.025,0.975,0.2752808988764045,9.127218271509896,0.22346368715083798,8.678781094157703,2^14
64,32768.0,0.025,0.975,0.17415730337078653,5.886499952117966,0.13966480446927373,5.7691515709661925,2^15
