label,hidden,r,delta,train_s,q_hat,val_PICP,val_MPIW,direct_PICP,direct_MPIW,direct_CWC,direct_IS,conf_PICP,conf_MPIW,conf_CWC,conf_IS
h256_r0.5_d0.0,256,0.5,0.0,38.0,0.8732,0.8487,107.5839,0.8301,104.9274,64.651823,119.049,0.8693,106.6738,10.921627,118.2724
h512_r0.5_d0.0,512,0.5,0.0,37.7,1.5769,0.8355,167.4836,0.8105,158.3082,255.116395,175.99,0.8562,161.462,29.1136,173.9868
h256_r0.5_d0.02,256,0.5,0.02,37.7,3.0569,0.7632,23.6395,0.7843,21.9975,130.301069,39.4446,0.8954,28.1112,1.152304,36.3642
h512_r0.5_d0.02,512,0.5,0.02,42.1,2.4431,0.7763,23.1721,0.7451,21.6022,906.035287,37.9028,0.8824,26.4883,1.639727,33.3856
h256_r0.3_d0.0,256,0.3,0.0,44.0,0.9503,0.8618,126.7228,0.8366,124.8695,56.219567,139.7835,0.8627,126.7701,17.154079,138.8494
h512_r0.3_d0.0,512,0.3,0.0,42.2,1.5709,0.8553,209.5963,0.8235,207.4695,176.340793,217.3806,0.9085,210.6113,3.822347,216.0773
h256_r0.3_d0.02,256,0.3,0.02,43.4,1.7544,0.7829,23.87,0.7974,22.6765,69.970838,38.9192,0.8693,26.1852,2.68093,36.5848
h512_r0.3_d0.02,512,0.3,0.02,43.5,2.5886,0.7895,23.3025,0.7451,22.1441,928.763552,39.0164,0.8824,27.3214,1.691299,35.3646
