label,hidden,lr,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW,test_CWC,test_IS
ANN_h256_lr0.02,256,0.02,0.671,0.8971,27.0517,0.9024,27.1178,0.541634,35.119
ANN_h512_lr0.02,512,0.02,0.2795,0.9118,28.3019,0.9122,28.5256,0.569752,35.2591
ANN_h256_lr0.01,256,0.01,1.1944,0.9118,28.4374,0.922,29.0109,0.579445,35.2276
ANN_h512_lr0.01,512,0.01,1.2646,0.9069,28.728,0.9268,29.1814,0.582851,36.5991
