label,n_estimators,max_depth,min_samples_leaf,q_hat,val_PICP,val_MPIW,test_PICP,test_MPIW,test_CWC,test_IS
RF_n100_dNone_msl5,100,None,5,0.1333,0.8873,27.2118,0.8976,27.6395,1.174493,36.2278
RF_n200_dNone_msl5,200,None,5,0.2333,0.8971,27.3763,0.9073,27.7922,0.555104,35.939
RF_n200_d10_msl5,200,10,5,0.4,0.902,27.8376,0.9171,28.0873,0.560998,35.6743
RF_n200_d15_msl3,200,15,3,0.4333,0.902,27.1554,0.8976,27.5925,1.172496,35.8241
