lr,n_estimators,tau_lo,tau_hi,min_samples_leaf,max_depth,subsample,q_hat,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
0.02,400,0.2,0.8,20,5,0.9,7.489274,12.6008,0.897059,27.018901,0.897561,27.579317
0.02,400,0.2,0.8,20,5,1.0,7.229371,13.0498,0.892157,26.934481,0.882927,27.508575
0.02,400,0.2,0.8,22,4,0.8,6.227705,12.9469,0.872549,24.894374,0.868293,25.402301
0.02,400,0.2,0.8,22,4,0.9,6.794988,13.1902,0.872549,26.245798,0.897561,26.780188
0.02,400,0.2,0.8,22,4,1.0,7.690712,13.2133,0.892157,27.935796,0.907317,28.594675
0.02,400,0.2,0.8,22,5,0.8,7.176703,12.359,0.872549,26.191914,0.892683,26.712438
0.02,400,0.2,0.8,22,5,0.9,7.599871,12.5976,0.892157,27.321744,0.902439,27.79738
0.02,400,0.2,0.8,22,5,1.0,7.445015,12.8534,0.887255,27.089031,0.892683,27.743414
0.02,400,0.2,0.8,25,4,0.8,6.644337,12.9917,0.882353,25.84712,0.882927,26.280339
0.02,400,0.2,0.8,25,4,0.9,6.611398,13.123,0.872549,25.767033,0.878049,26.345819
0.02,400,0.2,0.8,25,4,1.0,6.880856,13.4203,0.877451,26.384609,0.892683,27.182061
0.02,400,0.2,0.8,25,5,0.8,7.353391,12.4966,0.887255,26.664083,0.892683,27.203333
0.02,400,0.2,0.8,25,5,0.9,7.087981,12.4772,0.882353,26.215406,0.892683,26.653209
0.02,400,0.2,0.8,25,5,1.0,7.012569,12.8295,0.877451,26.293835,0.897561,26.854654
0.02,400,0.2,0.8,30,4,0.8,6.470949,12.9175,0.882353,25.340035,0.868293,25.859372
0.02,400,0.2,0.8,30,4,0.9,6.940013,12.9928,0.897059,26.308916,0.892683,26.872779
0.02,400,0.2,0.8,30,4,1.0,7.25511,13.4229,0.892157,27.213934,0.902439,27.933072
0.02,400,0.2,0.8,30,5,0.8,6.98247,12.4981,0.887255,25.96371,0.882927,26.463046
0.02,400,0.2,0.8,30,5,0.9,7.20487,12.7424,0.892157,26.540411,0.892683,27.152149
0.02,400,0.2,0.8,30,5,1.0,6.652653,12.7651,0.882353,25.467516,0.858537,26.070454
0.02,450,0.15,0.85,15,4,0.8,5.399515,15.6427,0.892157,26.05853,0.882927,26.441696
0.02,450,0.15,0.85,15,4,0.9,5.329844,15.811,0.892157,26.003927,0.882927,26.470671
0.02,450,0.15,0.85,15,4,1.0,5.626608,15.858,0.892157,26.687054,0.887805,27.111254
0.02,450,0.15,0.85,15,5,0.8,6.137892,14.952,0.892157,26.79396,0.887805,27.227829
0.02,450,0.15,0.85,15,5,0.9,5.407932,14.9669,0.877451,25.29297,0.873171,25.782789
0.02,450,0.15,0.85,15,5,1.0,5.658982,15.0859,0.892157,26.038472,0.892683,26.403893
0.02,450,0.15,0.85,18,4,0.8,5.211929,15.5504,0.882353,25.563518,0.868293,25.974213
0.02,450,0.15,0.85,18,4,0.9,5.319346,15.6652,0.887255,25.903266,0.878049,26.303934
0.02,450,0.15,0.85,18,4,1.0,5.588647,15.7796,0.887255,26.419274,0.878049,26.9569
0.02,450,0.15,0.85,18,5,0.8,5.653478,14.9938,0.882353,25.980144,0.868293,26.300709
0.02,450,0.15,0.85,18,5,0.9,5.618008,15.0674,0.897059,25.864655,0.878049,26.303392
0.02,450,0.15,0.85,18,5,1.0,5.247476,14.8758,0.887255,25.099909,0.868293,25.370704
0.02,450,0.15,0.85,20,4,0.8,5.272524,15.5116,0.887255,25.603568,0.892683,26.056639
0.02,450,0.15,0.85,20,4,0.9,5.43433,15.5608,0.887255,26.027998,0.878049,26.429492
0.02,450,0.15,0.85,20,4,1.0,5.776892,15.6542,0.901961,26.758152,0.887805,27.207999
0.02,450,0.15,0.85,20,5,0.8,5.8217,14.9193,0.901961,26.102238,0.882927,26.562675
0.02,450,0.15,0.85,20,5,0.9,6.132151,14.9085,0.892157,26.868938,0.902439,27.172808
0.02,450,0.15,0.85,20,5,1.0,5.067883,14.7417,0.882353,24.576207,0.873171,24.877482
0.02,450,0.15,0.85,22,4,0.8,5.180613,15.4918,0.882353,25.410941,0.873171,25.853036
0.02,450,0.15,0.85,22,4,0.9,5.172385,15.5737,0.882353,25.513079,0.873171,25.918421
0.02,450,0.15,0.85,22,4,1.0,5.780761,15.5582,0.901961,26.730049,0.902439,27.119723
0.02,450,0.15,0.85,22,5,0.8,5.787997,14.8375,0.887255,26.03171,0.887805,26.413448
0.02,450,0.15,0.85,22,5,0.9,5.847842,14.9099,0.882353,26.256722,0.897561,26.605596
0.02,450,0.15,0.85,22,5,1.0,5.528351,14.7723,0.887255,25.453439,0.878049,25.829009
0.02,450,0.15,0.85,25,4,0.8,5.682777,15.5699,0.887255,26.431503,0.887805,26.935475
0.02,450,0.15,0.85,25,4,0.9,5.273497,15.7077,0.892157,25.798206,0.873171,26.254653
0.02,450,0.15,0.85,25,4,1.0,5.160639,15.6228,0.872549,25.54537,0.892683,25.944102
0.02,450,0.15,0.85,25,5,0.8,5.406063,14.9463,0.887255,25.322358,0.873171,25.758396
0.02,450,0.15,0.85,25,5,0.9,5.619757,15.0061,0.887255,25.847443,0.878049,26.245616
0.02,450,0.15,0.85,25,5,1.0,6.269246,14.9301,0.887255,27.057921,0.902439,27.468631
0.02,450,0.15,0.85,30,4,0.8,5.109444,15.6598,0.887255,25.348974,0.858537,25.878649
0.02,450,0.15,0.85,30,4,0.9,5.20675,15.716,0.887255,25.577768,0.882927,26.129511
0.02,450,0.15,0.85,30,4,1.0,5.551176,15.5979,0.892157,26.21542,0.887805,26.700285
0.02,450,0.15,0.85,30,5,0.8,5.315744,15.0815,0.892157,25.214805,0.873171,25.712945
0.02,450,0.15,0.85,30,5,0.9,5.547409,14.8968,0.892157,25.517347,0.863415,25.991586
0.02,450,0.15,0.85,30,5,1.0,6.185456,14.7939,0.901961,26.689461,0.887805,27.164802
0.02,450,0.2,0.8,15,4,0.8,6.831088,12.9533,0.877451,25.99371,0.878049,26.6155
0.02,450,0.2,0.8,15,4,0.9,6.675566,13.0386,0.877451,25.799259,0.897561,26.389761
0.02,450,0.2,0.8,15,4,1.0,6.851193,13.0377,0.887255,26.073923,0.878049,26.740126
0.02,450,0.2,0.8,15,5,0.8,7.163093,12.2724,0.872549,26.136234,0.878049,26.598556
0.02,450,0.2,0.8,15,5,0.9,7.253103,12.5413,0.882353,26.4334,0.887805,27.047552
0.02,450,0.2,0.8,15,5,1.0,7.10862,12.8927,0.882353,26.351836,0.882927,27.109912
0.02,450,0.2,0.8,18,4,0.8,6.883527,12.9011,0.887255,26.130225,0.878049,26.668151
