label,arch,lr,val_PICP,val_MPIW,test_PICP,test_MPIW,test_CWC,test_IS
"MVE_arch[64,32]_lr0.001","[64,32]",0.001,0.9079,28.0978,0.8758,26.3541,2.082254,37.5574
"MVE_arch[128,64]_lr0.001","[128,64]",0.001,0.8882,40.5955,0.915,41.0438,0.744897,51.7451
"MVE_arch[64,32]_lr0.0005","[64,32]",0.0005,1.0,147.1167,1.0,147.3003,2.673327,147.3003
"MVE_arch[128,64]_lr0.0005","[128,64]",0.0005,1.0,93.1696,1.0,92.6876,1.682171,92.6876
