label,K,arch,lr,status,val_PICP,val_MPIW,test_PICP,test_MPIW,test_CWC,test_IS
"MDN_K3_arch[64,32]_lr0.001",3,"[64,32]",0.001,ok,1.0,71.4433,1.0,69.8696,1.268051,69.8696
"MDN_K5_arch[64,32]_lr0.001",5,"[64,32]",0.001,ok,1.0,83.9781,1.0,84.4607,1.532862,84.4607
"MDN_K3_arch[128,64]_lr0.001",3,"[128,64]",0.001,ok,0.9145,39.0078,0.9085,40.4098,0.73339,47.6398
"MDN_K5_arch[128,64]_lr0.001",5,"[128,64]",0.001,ok,0.9868,55.8712,0.9869,57.2205,1.038485,57.5835
"MDN_K3_arch[64,32]_lr0.0005",3,"[64,32]",0.0005,ok,1.0,105.2955,1.0,105.8927,1.921828,105.8927
"MDN_K5_arch[64,32]_lr0.0005",5,"[64,32]",0.0005,ok,1.0,106.4438,1.0,106.5219,1.933247,106.5219
"MDN_K3_arch[128,64]_lr0.0005",3,"[128,64]",0.0005,ok,1.0,95.3963,1.0,95.2951,1.729494,95.2951
"MDN_K5_arch[128,64]_lr0.0005",5,"[128,64]",0.0005,ok,1.0,96.3723,1.0,96.3807,1.749196,96.3807
